m_upper: 1024, m_lower 992, m: 1008, i: 71, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 72, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 73, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 74, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 75, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 76, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 77, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 78, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 79, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 80, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 81, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 82, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 83, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 84, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 85, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 86, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 87, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 88, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 89, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 90, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 91, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 92, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 93, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 94, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 95, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 96, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 97, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 98, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 99, last_sol: 0
lb: 500, ub: 2000, sols: 0
m_upper: 1008, m_lower 992
m_upper: 1008, m_lower 992, m: 1000, i: 0, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 1, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 2, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 3, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 4, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 5, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 6, last_sol: 1680378
m_upper: 1008, m_lower 992, m: 1000, i: 7, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 8, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 9, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 10, last_sol: 3888
m_upper: 1008, m_lower 992, m: 1000, i: 11, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 12, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 13, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 14, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 15, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 16, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 17, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 18, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 19, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 20, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 21, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 22, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 23, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 24, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 25, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 26, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 27, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 28, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 29, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 30, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 31, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 32, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 33, last_sol: 0
m_upper: 1008, m_lower 992, m: 1000, i: 34, last_sol: 0
